=date,temperature,humidity,luminosity
,20.4,19.1,153
,20.4,19.1,154
,20.4,19.1,154
,20.4,19.1,153
,20.4,19.1,154
,20.3,19.0,154
,20.4,19.0,154
,20.3,18.9,154
,20.3,18.9,153
,20.3,18.9,153
,20.3,18.8,153
,20.3,18.8,152
,20.3,18.8,152
,20.3,18.7,152
,20.3,18.8,153
,20.3,18.8,152
,20.3,18.8,153
,20.3,18.8,153
,20.3,18.8,152
,20.2,18.8,152
,20.2,18.8,152
,20.3,18.9,152
,20.2,18.8,152
,20.2,18.9,152
,20.2,18.9,152
,20.2,18.9,152
,20.2,18.9,152
,20.2,18.9,152
,20.2,18.9,152
,20.2,18.9,152
,20.1,18.9,152
,20.1,18.9,152
,20.1,18.9,152
,20.1,18.9,149
,20.1,18.9,147
,20.1,18.9,149
,20.1,19.0,147
,20.1,19.0,149
,20.1,19.0,151
,20.1,19.0,151
,20.1,19.0,149
,20.1,19.0,144
,20.0,18.9,149
,20.0,18.9,149
,20.0,18.9,149
,20.0,18.8,150
,20.0,18.8,149
,20.0,18.8,151
,20.0,18.8,154
,20.0,18.7,145
,20.0,18.7,145
,20.0,18.7,143
,20.0,18.7,145
,20.0,18.8,144
,20.0,18.8,144
,20.0,18.7,144
,20.0,18.7,144
,20.0,18.7,144
,20.0,18.7,145
,20.0,18.7,144
,20.0,18.6,145
,20.0,18.6,145
,20.0,18.6,144
,20.0,18.6,145
,20.0,18.6,145
,20.1,18.6,145
,20.2,18.7,145
,20.3,18.7,143
,20.3,18.7,145
,20.5,18.9,145
,20.5,18.9,144
,20.4,18.8,144
,20.5,18.9,142
,20.4,18.8,145
,20.4,18.8,145
,20.4,18.8,145
,20.4,18.8,145
,20.4,18.9,145
,20.4,18.9,145
,20.4,18.9,145
,20.4,19.0,145
,20.4,19.0,145
,20.4,19.1,144
,20.3,19.0,143
,20.3,19.0,143
,20.3,19.0,143
,20.3,19.0,144
,20.3,19.0,144
,20.3,19.0,145
,20.3,19.0,144
,20.3,19.1,145
,20.2,19.0,145
,20.3,19.0,145
,20.2,18.9,143
,20.2,18.9,134
,20.2,18.9,130
,20.2,18.8,131
,20.2,18.8,130
,20.2,18.7,135
,20.2,18.7,142
,20.2,18.6,143
,20.1,18.5,143
,20.2,18.6,143
,20.2,18.6,143
,20.2,18.6,143
,20.2,18.6,143
,20.2,18.6,143
,20.2,18.6,141
,20.2,18.6,144
,20.2,18.6,145
,20.2,18.6,144
,20.2,18.6,144
,20.2,18.6,143
,20.2,18.6,154
,20.2,18.6,154
,20.3,18.7,154
,20.3,18.7,126
,20.3,18.8,149
,20.3,18.7,153
,20.3,18.7,152
,20.3,18.6,152
,20.3,18.6,153
,20.3,18.6,153
,20.3,18.6,154
,20.3,18.6,153
,20.3,18.7,151
,20.3,18.6,152
,20.3,18.7,152
,20.3,18.7,151
,20.3,18.7,152
,20.3,18.8,151
,20.3,18.8,152
,20.3,18.8,152
,20.3,18.8,152
,20.3,18.8,152
,20.3,18.8,153
,20.3,18.8,136
,20.3,18.8,150
,20.3,18.8,150
,20.3,18.9,150
,20.3,18.9,152
,20.3,18.9,147
,20.3,19.0,151
,20.2,18.9,152
,20.2,19.0,152
,20.2,19.0,151
,20.2,19.0,151
,20.2,19.0,151
,20.1,18.9,150
,20.2,19.0,152
,20.1,19.0,154
,20.1,19.0,154
,20.1,19.1,153
,20.1,19.2,152
,20.1,19.1,153
,20.1,19.1,153
,20.1,19.1,153
,20.1,19.1,154
,20.1,19.0,154
,20.1,19.0,153
,20.1,18.9,154
,20.1,18.9,145
,20.0,18.8,145
,20.0,18.8,145
,20.0,18.8,140
,20.0,18.7,145
,20.1,18.8,144
,20.0,18.8,145
,20.0,18.8,145
,20.1,18.8,145
,20.0,18.7,145
,20.0,18.6,145
,20.0,18.5,145
,20.1,18.5,143
,20.1,18.5,143
,20.2,18.6,145
,20.2,18.6,144
,20.2,18.6,142
,20.2,18.6,143
,20.2,18.5,143
,20.2,18.6,142
,20.2,18.6,142
,20.2,18.6,143
,20.2,18.6,143
,20.2,18.6,143
,20.1,18.5,143
,20.2,18.6,144
,20.2,18.6,144
,20.1,18.5,144
,20.1,18.5,144
,20.1,18.5,144
,20.2,18.6,144
,20.1,18.6,144
,20.1,18.6,144
,20.2,18.7,144
,20.1,18.7,143
,20.1,18.7,142
,20.1,18.7,142
,20.1,18.7,143
,20.1,18.7,143
,20.1,18.6,144
,20.1,18.6,143
,20.1,18.6,143
,20.1,18.5,143
,20.1,18.5,143
,20.1,18.5,144
,20.1,18.6,143
,20.1,18.5,143
,20.1,18.5,144
,20.1,18.4,143
,20.1,18.4,144
